cnpj;nome;nome_reduzido;tipo;uf;situacao;banco;agencia;conta
04223960000171;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE BOQUEIRAO;APAE DE BOQUEIRAO;apae;PB;;001;1654-3;20000-X
34603407000125;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE BRAGANCA;APAE DE BRAGANCA;apae;PA;;001;0253;3486-X
08039825000121;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE BRASNORTE;APAE DE BRASNORTE;apae;MT;;748;0821;19509-1
05455514000155;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE BREJO SANTO;APAE DE BREJO SANTO;apae;CE;;237;688-2;1013-8
33308250000142;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE BREVES;APAE DE BREVES;apae;PA;;104;3194;577522601-8
14828328000105;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE BUIQUE;APAE DE BUIQUE;apae;PE;;001;4119-0;188822-0
03550100000180;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CACERES;APAE DE CACERES;apae;MT;;001;184;46073-7
13307369000193;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CACHOEIRINHA;APAE DE CACHOEIRINHA;apae;PE;;237;6040;875317
06958066000175;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CACIMBA DE DENTRO;APAE DE CACIMBA DE DENTRO;apae;PB;;104;0038;62801-7
02446973000184;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAETITE;APAE DE CAETITE;apae;BA;;001;0230-5;42471-4
04870500000135;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAJAZEIRAS;APAE DE CAJAZEIRAS;apae;PB;;001;099-X;36398-7
33832239000187;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAMACARI;APAE DE CAMACARI;apae;BA;;237;3579-0;413-8
70097894000165;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAMPINA GRANDE;APAE DE CAMPINA GRANDE;apae;PB;;001;0063-9;690000-3
86820313000101;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAMPINA VERDE;APAE DE CAMPINA VERDE;apae;MG;;001;0691-2;15330-3
81270316000103;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAMPO BONITO;APAE DE CAMPO BONITO;apae;PR;;001;1350-1;25948-9
01657456000191;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAMPO NOVO DO PARECIS;APAE DE CAMPO NOVO DO PARECIS;apae;MT;;001;3036-8;38792-4
00062712000135;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAMPO VERDE;APAE DE CAMPO VERDE;apae;MT;;748;0802;21134-8
08471924000188;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAMPOS DE JULIO;APAE DE CAMPOS DE JULIO;apae;MT;;748;0804;07653-8
22643808000120;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CANAA DOS CARAJAS;APAE DE CANAA DOS CARAJAS;apae;PA;;001;4153-X;30875-7
02254285000112;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CANAPOLIS;APAE DE CANAPOLIS;apae;MG;;001;1502-4;15698-1
02030068000149;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CANARANA;APAE DE CANARANA;apae;MT;;001;1319-6;27082-2
05030889000173;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CANINDE;APAE DE CANINDE;apae;CE;;104;074-0;739122351-5
34921817000114;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAPANEMA;APAE DE CAPANEMA;apae;PA;;001;1735-3;45922-4
80883002000105;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAPANEMA;APAE DE CAPANEMA;apae;PR;;001;0907-5;34109-6
10757933000181;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAPELA;APAE DE CAPELA;apae;AL;;104;2045;739033594-8
02319426000138;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAPINOPOLIS;APAE DE CAPINOPOLIS;apae;MG;;104;3651-3;577515277-4
00614178000122;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAPITAO LEONIDAS MARQUES;APAE DE CAPITAO LEONIDAS MARQUES;apae;PR;;001;4727-9;13536-4
43014855000184;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAPIXABA;APAE DE CAPIXABA;apae;AC;;104;3706;577514449-6
78603925000114;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CARAMBEI;APAE DE CARAMBEI;apae;PR;;001;3048-1;10664-X
01058667000108;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAREIRO;APAE DE CAREIRO;apae;AM;;104;4563-2;577850923-1
03231015000159;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CARLINDA;APAE DE CARLINDA;apae;MT;;748;0818;78385-7
20726006000158;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CARMO DO PARANAIBA;APAE DE CARMO DO PARANAIBA;apae;MG;;001;8681-9;684-0
